StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q6,Q4,type,sex,climber
2/8/21 8:26,2/8/21 8:26,IP Address,24.63.114.172,100,28,TRUE,2/8/21 8:26,R_3eqvDlP8MmIR5zE,NA,NA,NA,NA,42.91329956,-71.06390381,anonymous,EN,Yes,"Yes, I Consent",4,No,bouldering,male,no
2/8/21 8:26,2/8/21 8:26,IP Address,174.204.131.229,100,18,TRUE,2/8/21 8:26,R_2wtzhTGHDwe0SdW,NA,NA,NA,NA,40.81230164,-73.96820068,anonymous,EN,Yes,"Yes, I Consent",5,No,TR,female,no
2/8/21 8:26,2/8/21 8:26,IP Address,96.236.191.80,100,16,TRUE,2/8/21 8:26,R_6fn7fbbOycoc8db,NA,NA,NA,NA,40.43249512,-79.86299896,anonymous,EN,Yes,"Yes, I Consent",5,Yes,bouldering,male,yes
2/8/21 8:26,2/8/21 8:27,IP Address,73.68.117.133,100,53,TRUE,2/8/21 8:27,R_23WryF4r8nnEVbj,NA,NA,NA,NA,42.36540222,-72.46710205,anonymous,EN,Yes,"Yes, I Consent",3,No,TR,male,no
2/8/21 8:26,2/8/21 8:27,IP Address,144.121.36.211,100,39,TRUE,2/8/21 8:27,R_u7HtmgWS8XY5cJz,NA,NA,NA,NA,42.32510376,-72.62760162,anonymous,EN,Yes,"Yes, I Consent",4,Yes,bouldering,female,yes
2/8/21 8:27,2/8/21 8:27,IP Address,67.49.61.226,100,35,TRUE,2/8/21 8:27,R_2YENnr14xj3tmeh,NA,NA,NA,NA,34.16189575,-116.4335022,anonymous,EN,Yes,"Yes, I Consent",4,No,bouldering,male,no
2/8/21 8:27,2/8/21 8:28,IP Address,144.121.36.211,100,22,TRUE,2/8/21 8:28,R_3HhrwFQZbCy9n0E,NA,NA,NA,NA,42.32510376,-72.62760162,anonymous,EN,Yes,"Yes, I Consent",4,No,TR,male,no
2/8/21 8:27,2/8/21 8:28,IP Address,101.12.47.219,100,37,TRUE,2/8/21 8:28,R_2xYjwACMh4yLr1S,NA,NA,NA,NA,24.93890381,121.5422058,anonymous,EN,Yes,"Yes, I Consent",4,No,bouldering,female,no
2/8/21 8:28,2/8/21 8:28,IP Address,98.10.200.254,100,40,TRUE,2/8/21 8:28,R_3nJLpC99ZqzISGt,NA,NA,NA,NA,43.11399841,-77.56890106,anonymous,EN,Yes,"Yes, I Consent",5,No,TR,female,no
2/8/21 8:28,2/8/21 8:29,IP Address,69.138.251.26,100,29,TRUE,2/8/21 8:29,R_ulcIfOSfYIsPVqp,NA,NA,NA,NA,39.35290527,-76.57430267,anonymous,EN,Yes,"Yes, I Consent",3,No,TR,female,no
2/8/21 8:26,2/8/21 8:29,IP Address,174.255.66.71,100,177,TRUE,2/8/21 8:29,R_2flDSclkvFmt4a6,NA,NA,NA,NA,43.45970154,-70.91519928,anonymous,EN,Yes,"Yes, I Consent",4,Yes,bouldering,female,yes
2/8/21 8:28,2/8/21 8:29,IP Address,174.242.76.245,100,68,TRUE,2/8/21 8:29,R_0PxCTKciukLWSTD,NA,NA,NA,NA,42.34979248,-71.07649994,anonymous,EN,Yes,"Yes, I Consent",5,No,TR,male,no
2/8/21 8:21,2/8/21 8:30,IP Address,74.64.117.187,100,511,TRUE,2/8/21 8:30,R_3fjfZjDnd3XCOWV,NA,NA,NA,NA,40.7828064,-73.97450256,anonymous,EN,Yes,"Yes, I Consent",4,Yes,bouldering,male,yes
2/8/21 8:24,2/8/21 8:30,IP Address,144.121.36.210,100,400,TRUE,2/8/21 8:30,R_3GfA9hvgHO2Vax7,NA,NA,NA,NA,42.32510376,-72.62760162,anonymous,EN,Yes,"Yes, I Consent",5,No,bouldering,male,no
2/8/21 8:32,2/8/21 8:32,IP Address,68.160.129.47,100,22,TRUE,2/8/21 8:32,R_3m2F7DrLeifQyjT,NA,NA,NA,NA,42.53269958,-71.0338974,anonymous,EN,Yes,"Yes, I Consent",4,No,bouldering,female,no
2/8/21 8:32,2/8/21 8:33,IP Address,144.121.36.211,100,50,TRUE,2/8/21 8:33,R_1Kp7VYH1IE9xfBL,NA,NA,NA,NA,42.32510376,-72.62760162,anonymous,EN,Yes,"Yes, I Consent",5,No,TR,female,no
2/8/21 8:32,2/8/21 8:33,IP Address,75.58.61.228,100,33,TRUE,2/8/21 8:33,R_Dq7333POhZujSE1,NA,NA,NA,NA,35.91119385,-78.9178009,anonymous,EN,Yes,"Yes, I Consent",3,No,bouldering,female,no
2/8/21 8:34,2/8/21 8:34,IP Address,172.56.23.160,100,44,TRUE,2/8/21 8:34,R_2alDeLOzrh6fwBJ,NA,NA,NA,NA,41.87399292,-71.38439941,anonymous,EN,Yes,"Yes, I Consent",5,Yes,bouldering,male,yes
2/8/21 8:34,2/8/21 8:34,IP Address,71.192.29.226,100,46,TRUE,2/8/21 8:34,R_3P7Ti9k8szWISir,NA,NA,NA,NA,42.32510376,-72.62760162,anonymous,EN,Yes,"Yes, I Consent",5,Yes,bouldering,male,yes
2/8/21 8:33,2/8/21 8:35,IP Address,71.192.38.136,100,76,TRUE,2/8/21 8:35,R_s6wEhg9Eyf8tfgt,NA,NA,NA,NA,42.32510376,-72.62760162,anonymous,EN,Yes,"Yes, I Consent",2,Yes,TR,male,yes
2/8/21 8:38,2/8/21 8:38,IP Address,143.244.47.168,100,33,TRUE,2/8/21 8:38,R_31dyU99JpurUn44,NA,NA,NA,NA,37.75100708,-97.8219986,anonymous,EN,Yes,"Yes, I Consent",3,No,TR,male,no
2/8/21 8:42,2/8/21 8:43,IP Address,172.56.22.51,100,69,TRUE,2/8/21 8:43,R_1eWVyfKqUDRLVCe,NA,NA,NA,NA,41.82440186,-71.40799713,anonymous,EN,Yes,"Yes, I Consent",4,Yes,bouldering,female,yes
2/8/21 8:43,2/8/21 8:44,IP Address,172.56.22.51,100,61,TRUE,2/8/21 8:44,R_9Mq4fFuGBd3lDzP,NA,NA,NA,NA,41.82440186,-71.40799713,anonymous,EN,Yes,"Yes, I Consent",2,Yes,TR,female,yes
2/8/21 8:43,2/8/21 8:45,IP Address,98.11.99.186,100,114,TRUE,2/8/21 8:45,R_3lAITlT2lkjrkDj,NA,NA,NA,NA,43.31190491,-70.59790039,anonymous,EN,Yes,"Yes, I Consent",4,No,bouldering,male,no
2/8/21 8:46,2/8/21 8:47,IP Address,109.41.64.209,100,44,TRUE,2/8/21 8:47,R_D5BCdMNDjURVDFv,NA,NA,NA,NA,53.55529785,9.994995117,anonymous,EN,Yes,"Yes, I Consent",4,No,TR,female,no
2/8/21 8:49,2/8/21 8:50,IP Address,89.15.236.126,100,58,TRUE,2/8/21 8:50,R_3PF6u79PZIhyQcK,NA,NA,NA,NA,53.57640076,10.0473938,anonymous,EN,Yes,"Yes, I Consent",4,No,bouldering,female,no
2/8/21 8:54,2/8/21 8:55,IP Address,89.27.237.58,100,45,TRUE,2/8/21 8:55,R_3pnAzjLRH79HcsH,NA,NA,NA,NA,53.60820007,9.973800659,anonymous,EN,Yes,"Yes, I Consent",5,No,TR,male,no
2/8/21 8:59,2/8/21 9:00,IP Address,109.255.85.47,100,39,TRUE,2/8/21 9:00,R_3MuMIOtXCrUdYOw,NA,NA,NA,NA,53.33790588,-6.259094238,anonymous,EN,Yes,"Yes, I Consent",5,No,bouldering,male,no
2/8/21 8:59,2/8/21 9:00,IP Address,2.207.5.39,100,47,TRUE,2/8/21 9:00,R_1C1IAfsAO0ahcK9,NA,NA,NA,NA,54.32730103,10.12339783,anonymous,EN,Yes,"Yes, I Consent",4,No,TR,female,no
2/8/21 9:01,2/8/21 9:04,IP Address,98.11.99.186,100,185,TRUE,2/8/21 9:04,R_20S7rHrNn4bzQJ0,NA,NA,NA,NA,43.31190491,-70.59790039,anonymous,EN,Yes,"Yes, I Consent",5,No,TR,male,no
2/8/21 9:22,2/8/21 9:23,IP Address,89.27.237.58,100,40,TRUE,2/8/21 9:23,R_QmDHx6TV4P4aKnn,NA,NA,NA,NA,53.60820007,9.973800659,anonymous,EN,Yes,"Yes, I Consent",4,No,bouldering,female,no
2/8/21 9:28,2/8/21 9:29,IP Address,173.50.175.100,100,38,TRUE,2/8/21 9:29,R_3iqYYFme1FedoIQ,NA,NA,NA,NA,41.59770203,-73.88950348,anonymous,EN,Yes,"Yes, I Consent",5,No,TR,female,no
2/8/21 9:30,2/8/21 9:30,IP Address,173.50.175.100,100,18,TRUE,2/8/21 9:30,R_1NaGU4jXTRo7iI4,NA,NA,NA,NA,41.59770203,-73.88950348,anonymous,EN,Yes,"Yes, I Consent",5,No,bouldering,female,no
2/8/21 9:44,2/8/21 9:44,IP Address,68.132.79.226,100,21,TRUE,2/8/21 9:44,R_3itbyTRg4Kz3i0r,NA,NA,NA,NA,40.86810303,-73.40940094,anonymous,EN,Yes,"Yes, I Consent",4,No,TR,male,no
2/8/21 9:53,2/8/21 9:53,IP Address,89.27.237.58,100,5,TRUE,2/8/21 9:53,R_2aPpz4oJxob3Ofi,NA,NA,NA,NA,53.60820007,9.973800659,anonymous,EN,Yes,"No, I Do Not Consent",NA,NA,NA,NA,NA
2/8/21 9:53,2/8/21 9:54,IP Address,89.27.237.58,100,19,TRUE,2/8/21 9:54,R_2ydbD9eU9GbnwmN,NA,NA,NA,NA,53.60820007,9.973800659,anonymous,EN,Yes,"Yes, I Consent",3,No,bouldering,male,no
2/8/21 9:58,2/8/21 9:59,IP Address,103.82.4.182,100,29,TRUE,2/8/21 9:59,R_1r96q9w94kbGm5U,NA,NA,NA,NA,34.05439758,-118.2440033,anonymous,EN,Yes,"Yes, I Consent",3,No,bouldering,female,no
2/8/21 10:12,2/8/21 10:12,IP Address,76.119.101.158,100,26,TRUE,2/8/21 10:12,R_27gl9kAtW83nKq5,NA,NA,NA,NA,42.32510376,-72.62760162,anonymous,EN,Yes,"Yes, I Consent",4,Yes,bouldering,male,yes
2/8/21 10:20,2/8/21 10:21,IP Address,100.38.223.244,100,101,TRUE,2/8/21 10:21,R_1DORNNBvPfsWv6o,NA,NA,NA,NA,40.87770081,-73.90799713,anonymous,EN,Yes,"Yes, I Consent",4,No,TR,male,no
2/8/21 10:26,2/8/21 10:27,IP Address,47.20.194.190,100,30,TRUE,2/8/21 10:27,R_2Epj769vP4QiCRM,NA,NA,NA,NA,40.48800659,-74.45439911,anonymous,EN,Yes,"Yes, I Consent",4,Yes,TR,male,yes
2/8/21 10:28,2/8/21 10:30,IP Address,73.178.73.216,100,94,TRUE,2/8/21 10:30,R_3qxNKgNXBRjDc0N,NA,NA,NA,NA,40.4855957,-74.62650299,anonymous,EN,Yes,"Yes, I Consent",5,No,bouldering,male,no
2/8/21 10:35,2/8/21 10:36,IP Address,131.229.93.156,100,21,TRUE,2/8/21 10:36,R_3PSTvI1QG1N68rr,NA,NA,NA,NA,42.3842926,-72.93139648,anonymous,EN,Yes,"Yes, I Consent",4,No,TR,female,no
2/8/21 10:35,2/8/21 10:37,IP Address,165.230.225.230,100,138,TRUE,2/8/21 10:37,R_1BPLL55gBwMGGhu,NA,NA,NA,NA,40.55110168,-74.46060181,anonymous,EN,Yes,"Yes, I Consent",4,Yes,bouldering,female,yes
2/8/21 10:44,2/8/21 10:45,IP Address,89.27.237.58,100,50,TRUE,2/8/21 10:45,R_1H2GfnD7sWgdXlz,NA,NA,NA,NA,53.60820007,9.973800659,anonymous,EN,Yes,"Yes, I Consent",3,Yes,TR,male,yes
2/8/21 10:47,2/8/21 10:49,IP Address,89.27.237.58,100,99,TRUE,2/8/21 10:49,R_1DZKvCHhqaDK5JG,NA,NA,NA,NA,53.60820007,9.973800659,anonymous,EN,Yes,"Yes, I Consent",4,No,bouldering,female,no
2/8/21 10:50,2/8/21 10:50,IP Address,91.106.123.186,100,21,TRUE,2/8/21 10:50,R_1hYeS5N09kFR77R,NA,NA,NA,NA,48.99969482,12.07170105,anonymous,EN,Yes,"Yes, I Consent",4,Yes,TR,female,yes
2/8/21 10:52,2/8/21 10:53,IP Address,89.15.236.210,100,35,TRUE,2/8/21 10:53,R_8pQzdn32VvHH8Yh,NA,NA,NA,NA,53.57640076,10.0473938,anonymous,EN,Yes,"Yes, I Consent",5,No,bouldering,male,no
2/8/21 10:56,2/8/21 10:57,IP Address,71.192.37.100,100,117,TRUE,2/8/21 10:57,R_9XJQL78wkwOshJ7,NA,NA,NA,NA,42.32510376,-72.62760162,anonymous,EN,Yes,"Yes, I Consent",4,No,bouldering,male,no
2/8/21 11:14,2/8/21 11:15,IP Address,45.36.141.236,100,48,TRUE,2/8/21 11:15,R_0vzAFJz4ttgHSCt,NA,NA,NA,NA,36.14300537,-80.30729675,anonymous,EN,Yes,"Yes, I Consent",4,Yes,TR,male,yes
2/8/21 11:17,2/8/21 11:19,IP Address,174.196.198.172,100,91,TRUE,2/8/21 11:19,R_doH1yXY1mqqp1QZ,NA,NA,NA,NA,42.33880615,-71.07260132,anonymous,EN,Yes,"Yes, I Consent",5,No,bouldering,female,no
2/8/21 11:25,2/8/21 11:26,IP Address,144.121.36.211,100,31,TRUE,2/8/21 11:26,R_3hnhHT1fEfkLmHu,NA,NA,NA,NA,42.32510376,-72.62760162,anonymous,EN,Yes,"Yes, I Consent",5,No,TR,female,no
2/8/21 11:33,2/8/21 11:33,Spam,144.121.36.211,100,25,TRUE,2/8/21 11:33,R_2wQzeFidtzuBxWA,NA,NA,NA,NA,42.32510376,-72.62760162,anonymous,EN,Yes,"Yes, I Consent",5,No,TR,female,no
2/8/21 12:30,2/8/21 12:30,IP Address,71.184.147.128,100,43,TRUE,2/8/21 12:30,R_2S6x24rb8LdCQph,NA,NA,NA,NA,42.47479248,-71.44989777,anonymous,EN,Yes,"Yes, I Consent",2,No,bouldering,female,no
2/8/21 12:37,2/8/21 12:38,IP Address,89.27.237.58,100,49,TRUE,2/8/21 12:38,R_1gBFCoEEIhMWtsB,NA,NA,NA,NA,53.60820007,9.973800659,anonymous,EN,Yes,"Yes, I Consent",4,Yes,bouldering,male,yes
2/8/21 12:58,2/8/21 13:00,IP Address,144.121.36.210,100,75,TRUE,2/8/21 13:00,R_1IaR3Me2FMYtnzU,NA,NA,NA,NA,42.32510376,-72.62760162,anonymous,EN,Yes,"Yes, I Consent",4,No,TR,male,no
2/8/21 13:31,2/8/21 13:31,IP Address,73.218.3.136,100,18,TRUE,2/8/21 13:31,R_12Fp7uAGoZy9abc,NA,NA,NA,NA,41.74310303,-72.68270111,anonymous,EN,Yes,"Yes, I Consent",5,No,TR,female,no
2/8/21 14:28,2/8/21 14:29,IP Address,144.121.36.212,100,31,TRUE,2/8/21 14:29,R_2B8RM8nQ2e6k8nm,NA,NA,NA,NA,42.32510376,-72.62760162,anonymous,EN,Yes,"Yes, I Consent",3,No,bouldering,male,no
2/8/21 16:24,2/8/21 16:26,IP Address,207.237.102.12,100,124,TRUE,2/8/21 16:26,R_3kjHRwK313UkABu,NA,NA,NA,NA,40.76829529,-73.98020172,anonymous,EN,Yes,"Yes, I Consent",4,No,TR,male,no
2/8/21 18:38,2/8/21 18:38,IP Address,144.121.36.212,100,24,TRUE,2/8/21 18:38,R_Qcr69oRZn9Qy68p,NA,NA,NA,NA,42.32510376,-72.62760162,anonymous,EN,Yes,"Yes, I Consent",4,No,TR,female,no
2/8/21 18:38,2/8/21 18:38,IP Address,144.121.36.209,100,21,TRUE,2/8/21 18:38,R_2E9KPs5A78UrvCU,NA,NA,NA,NA,42.32510376,-72.62760162,anonymous,EN,Yes,"Yes, I Consent",4,No,bouldering,female,no
2/9/21 5:37,2/9/21 5:39,IP Address,98.11.99.186,100,87,TRUE,2/9/21 5:39,R_29noxAOWNsZQWaB,NA,NA,NA,NA,43.31190491,-70.59790039,anonymous,EN,Yes,"Yes, I Consent",5,No,bouldering,male,no
2/9/21 10:45,2/9/21 10:46,IP Address,173.50.175.100,100,49,TRUE,2/9/21 10:46,R_2EAzZLPGFR6Lynp,NA,NA,NA,NA,41.59770203,-73.88950348,anonymous,EN,Yes,"Yes, I Consent",2,No,TR,male,no
2/9/21 11:33,2/9/21 11:34,IP Address,71.239.75.191,100,67,TRUE,2/9/21 11:34,R_2Vl7knEskyYCqYg,NA,NA,NA,NA,41.97039795,-87.70359802,anonymous,EN,Yes,"Yes, I Consent",5,No,bouldering,male,no
